Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,20,0.9,0.03,0.000,0.000,0.000,0.201,2016,167
k-core,20,0.9,0.03,0.000,0.000,0.000,0.100,329888,105
Densest,20,0.9,0.03,0.000,0.000,0.000,0.100,295020,6727
L-RMC,20,0.9,0.05,0.000,0.000,0.000,0.197,2440,169
k-core,20,0.9,0.05,0.000,0.000,0.000,0.101,329381,112
Densest,20,0.9,0.05,0.009,0.850,0.017,0.100,205691,6807
L-RMC,20,0.9,0.07,0.000,0.000,0.000,0.186,3036,168
k-core,20,0.9,0.07,0.000,0.000,0.000,0.101,326677,139
Densest,20,0.9,0.07,0.010,1.000,0.020,0.100,272000,6820
L-RMC,20,0.9,0.10,0.106,0.850,0.188,0.182,4025,167
k-core,20,0.9,0.10,0.010,1.000,0.020,0.101,336357,123
Densest,20,0.9,0.10,0.010,1.000,0.020,0.100,316000,6804
L-RMC,20,0.9,0.15,0.500,1.000,0.667,0.437,440,171
k-core,20,0.9,0.15,0.010,1.000,0.020,0.101,334305,247
Densest,20,0.9,0.15,0.010,1.000,0.020,0.101,312000,6961
L-RMC,50,0.6,0.01,0.000,0.000,0.000,0.210,1717,164
k-core,50,0.6,0.01,0.000,0.000,0.000,0.101,313574,117
Densest,50,0.6,0.01,0.000,0.000,0.000,0.100,282750,6596
L-RMC,50,0.6,0.03,0.000,0.000,0.000,0.178,3840,163
k-core,50,0.6,0.03,0.000,0.000,0.000,0.101,319304,115
Densest,50,0.6,0.03,0.000,0.000,0.000,0.100,298350,6647
L-RMC,50,0.6,0.05,0.000,0.000,0.000,0.197,2147,161
k-core,50,0.6,0.05,0.000,0.000,0.000,0.101,315463,114
Densest,50,0.6,0.05,0.025,1.000,0.049,0.098,212000,6654
L-RMC,50,0.6,0.07,0.000,0.000,0.000,0.192,2440,163
k-core,50,0.6,0.07,0.000,0.000,0.000,0.101,320473,122
Densest,50,0.6,0.07,0.025,1.000,0.049,0.099,284000,6633
L-RMC,50,0.6,0.10,1.000,0.880,0.936,0.626,1012,175
k-core,50,0.6,0.10,0.026,1.000,0.050,0.101,330820,143
Densest,50,0.6,0.10,0.025,1.000,0.049,0.100,302000,6898
L-RMC,50,0.6,0.15,1.000,0.920,0.958,0.602,1058,180
k-core,50,0.6,0.15,0.026,1.000,0.050,0.104,334236,265
Densest,50,0.6,0.15,0.025,1.000,0.049,0.103,314000,7024
L-RMC,50,0.8,0.01,0.000,0.000,0.000,0.212,1800,162
k-core,50,0.8,0.01,0.000,0.000,0.000,0.101,318528,92
Densest,50,0.8,0.01,0.000,0.000,0.000,0.100,300300,6617
L-RMC,50,0.8,0.03,0.000,0.000,0.000,0.201,2166,164
k-core,50,0.8,0.03,0.000,0.000,0.000,0.100,315975,122
Densest,50,0.8,0.03,0.000,0.000,0.000,0.100,304200,6607
L-RMC,50,0.8,0.05,0.000,0.000,0.000,0.194,2625,160
k-core,50,0.8,0.05,0.000,0.000,0.000,0.100,311764,119
Densest,50,0.8,0.05,0.025,1.000,0.049,0.097,218000,6617
L-RMC,50,0.8,0.07,0.000,0.000,0.000,0.187,3014,164
k-core,50,0.8,0.07,0.000,0.000,0.000,0.101,315129,132
Densest,50,0.8,0.07,0.025,1.000,0.049,0.099,312000,6678
L-RMC,50,0.8,0.10,1.000,0.780,0.876,0.868,1170,171
k-core,50,0.8,0.10,0.026,1.000,0.050,0.102,333450,132
Densest,50,0.8,0.10,0.025,1.000,0.049,0.101,318000,6787
L-RMC,50,0.8,0.15,1.000,0.760,0.864,0.859,1064,186
k-core,50,0.8,0.15,0.026,1.000,0.051,0.104,335298,299
Densest,50,0.8,0.15,0.025,1.000,0.049,0.103,322000,7070
L-RMC,50,0.9,0.01,0.000,0.000,0.000,0.200,2360,160
k-core,50,0.9,0.01,0.000,0.000,0.000,0.101,315463,109
Densest,50,0.9,0.01,0.000,0.000,0.000,0.100,292500,6645
L-RMC,50,0.9,0.03,0.000,0.000,0.000,0.217,1632,160
k-core,50,0.9,0.03,0.000,0.000,0.000,0.102,313626,125
Densest,50,0.9,0.03,0.000,0.000,0.000,0.101,308100,6661
L-RMC,50,0.9,0.05,0.000,0.000,0.000,0.197,2340,165
k-core,50,0.9,0.05,0.000,0.000,0.000,0.101,314461,114
Densest,50,0.9,0.05,0.025,1.000,0.049,0.098,218000,6652
L-RMC,50,0.9,0.07,0.000,0.000,0.000,0.212,1782,164
k-core,50,0.9,0.07,0.023,0.900,0.044,0.099,328348,123
Densest,50,0.9,0.07,0.025,1.000,0.049,0.099,298000,6664
L-RMC,50,0.9,0.10,1.000,0.900,0.947,0.917,1710,168
k-core,50,0.9,0.10,0.026,1.000,0.050,0.101,333450,172
Densest,50,0.9,0.10,0.025,1.000,0.049,0.100,308000,6776
L-RMC,50,0.9,0.15,1.000,0.860,0.925,0.916,1548,186
k-core,50,0.9,0.15,0.026,1.000,0.050,0.104,335916,288
Densest,50,0.9,0.15,0.025,1.000,0.049,0.103,314000,7119
L-RMC,100,0.6,0.01,0.000,0.000,0.000,0.181,3519,148
k-core,100,0.6,0.01,0.000,0.000,0.000,0.101,297270,112
Densest,100,0.6,0.01,0.000,0.000,0.000,0.100,288800,6425
L-RMC,100,0.6,0.03,0.000,0.000,0.000,0.216,1547,153
k-core,100,0.6,0.03,0.000,0.000,0.000,0.101,300348,112
Densest,100,0.6,0.03,0.000,0.000,0.000,0.100,277400,6385
L-RMC,100,0.6,0.05,0.000,0.000,0.000,0.195,2540,158
k-core,100,0.6,0.05,0.000,0.000,0.000,0.100,301231,126
Densest,100,0.6,0.05,0.050,1.000,0.095,0.096,256000,6500
L-RMC,100,0.6,0.07,0.000,0.000,0.000,0.197,2242,163
k-core,100,0.6,0.07,0.047,0.930,0.090,0.099,329280,124
Densest,100,0.6,0.07,0.050,1.000,0.095,0.098,308000,6623
L-RMC,100,0.6,0.10,1.000,0.450,0.621,0.745,1350,172
k-core,100,0.6,0.10,0.051,1.000,0.098,0.102,335572,187
Densest,100,0.6,0.10,0.050,1.000,0.095,0.101,302000,6870
L-RMC,100,0.6,0.15,1.000,0.510,0.675,0.729,1632,192
k-core,100,0.6,0.15,0.051,1.000,0.096,0.106,345450,302
Densest,100,0.6,0.15,0.050,1.000,0.095,0.106,316000,7277
L-RMC,100,0.8,0.01,0.000,0.000,0.000,0.210,1717,151
k-core,100,0.8,0.01,0.000,0.000,0.000,0.100,299680,117
Densest,100,0.8,0.01,0.000,0.000,0.000,0.100,273600,6323
L-RMC,100,0.8,0.03,0.000,0.000,0.000,0.196,2625,162
k-core,100,0.8,0.03,0.000,0.000,0.000,0.101,303180,140
Densest,100,0.8,0.03,0.050,1.000,0.095,0.095,230000,6407
L-RMC,100,0.8,0.05,0.000,0.000,0.000,0.190,2730,160
k-core,100,0.8,0.05,0.000,0.000,0.000,0.101,295812,119
Densest,100,0.8,0.05,0.050,1.000,0.095,0.097,302000,6485
L-RMC,100,0.8,0.07,1.000,0.620,0.765,0.850,3038,171
k-core,100,0.8,0.07,0.051,1.000,0.098,0.100,327096,125
Densest,100,0.8,0.07,0.050,1.000,0.095,0.099,294000,6591
L-RMC,100,0.8,0.10,1.000,0.600,0.750,0.854,2880,205
k-core,100,0.8,0.10,0.051,1.000,0.097,0.102,335844,199
Densest,100,0.8,0.10,0.050,1.000,0.095,0.102,316000,6792
L-RMC,100,0.8,0.15,1.000,0.500,0.667,0.880,2050,196
k-core,100,0.8,0.15,0.051,1.000,0.097,0.108,344784,354
Densest,100,0.8,0.15,0.050,1.000,0.095,0.107,318000,7225
L-RMC,100,0.9,0.01,0.000,0.000,0.000,0.215,1472,150
k-core,100,0.9,0.01,0.000,0.000,0.000,0.100,304722,114
Densest,100,0.9,0.01,0.000,0.000,0.000,0.100,281200,6342
L-RMC,100,0.9,0.03,0.000,0.000,0.000,0.191,2460,155
k-core,100,0.9,0.03,0.000,0.000,0.000,0.101,300348,120
Densest,100,0.9,0.03,0.050,1.000,0.095,0.095,264000,6533
L-RMC,100,0.9,0.05,0.000,0.000,0.000,0.201,2147,161
k-core,100,0.9,0.05,0.049,0.970,0.094,0.098,326522,114
Densest,100,0.9,0.05,0.050,1.000,0.095,0.097,306000,6446
L-RMC,100,0.9,0.07,1.000,0.600,0.750,0.946,3240,164
k-core,100,0.9,0.07,0.051,1.000,0.098,0.100,326928,135
Densest,100,0.9,0.07,0.050,1.000,0.095,0.099,310000,6593
L-RMC,100,0.9,0.10,1.000,0.580,0.734,0.959,3074,175
k-core,100,0.9,0.10,0.051,1.000,0.098,0.103,333279,225
Densest,100,0.9,0.10,0.050,1.000,0.095,0.102,322000,6806
L-RMC,100,0.9,0.15,1.000,0.610,0.758,0.945,3294,194
k-core,100,0.9,0.15,0.052,1.000,0.099,0.108,336512,373
Densest,100,0.9,0.15,0.050,1.000,0.095,0.107,326000,7195
