series,n,m,trial,ms_lrmc,ms_charikar,ratio_char_over_lrmc,p_intra,p_inter
p0.010,401000,11224438,1,26442.424,3698.956,0.1399,0.010000,0.000100000
p0.010,401000,11224438,2,27944.718,3785.824,0.1355,0.010000,0.000100000
p0.010,401000,11224438,3,35573.425,4131.695,0.1161,0.010000,0.000100000
p0.010,471000,15478323,1,46818.609,5235.147,0.1118,0.010000,0.000100000
p0.010,471000,15478323,2,43437.508,5320.091,0.1225,0.010000,0.000100000
p0.010,471000,15478323,3,44888.857,5216.460,0.1162,0.010000,0.000100000
p0.010,553000,21347547,1,70903.340,7237.961,0.1021,0.010000,0.000100000
p0.010,553000,21347547,2,86748.593,7565.931,0.0872,0.010000,0.000100000
p0.010,553000,21347547,3,73878.376,7251.312,0.0982,0.010000,0.000100000
p0.010,649000,29406812,1,110734.007,10133.955,0.0915,0.010000,0.000100000
p0.010,649000,29406812,2,98126.391,10132.573,0.1033,0.010000,0.000100000
p0.010,649000,29406812,3,94134.658,10104.309,0.1073,0.010000,0.000100000
p0.010,762000,40512199,1,238696.389,14388.104,0.0603,0.010000,0.000100000
p0.010,762000,40512199,2,197853.014,14915.448,0.0754,0.010000,0.000100000
p0.010,762000,40512199,3,185054.047,14096.983,0.0762,0.010000,0.000100000
p0.010,894000,55788477,1,342670.024,19924.599,0.0581,0.010000,0.000100000
p0.010,894000,55788477,2,514606.529,19798.917,0.0385,0.010000,0.000100000
p0.010,894000,55788477,3,448368.373,20717.981,0.0462,0.010000,0.000100000
p0.010,1050000,76952553,1,868027.280,37071.813,0.0427,0.010000,0.000100000
p0.010,1050000,76952553,2,519475.395,38502.183,0.0741,0.010000,0.000100000
p0.010,1050000,76952553,3,511793.094,35704.567,0.0698,0.010000,0.000100000
